19,BSP Sun Preparations,2007,6,$159.00,$614.47,$722.04,255.87,5,237,11545,Chemist,32981,160,16435.91,Pacific,$4.54,$4.51,$3.05,$2.86,2.79,2.65,2.37,0.66,0.65,0.48,6/1/07,0
19,BSP Sun Preparations,2007,7,$94.00,$437.54,$514.08,209.28,5,237,11545,Chemist,32981,160,16435.91,Pacific,$5.47,$3.21,$2.17,$2.71,2.64,2.65,2.37,0.74,0.51,0.34,7/1/07,0
19,BSP Sun Preparations,2007,5,$160.00,$688.84,$809.43,290.86,5,237,11545,Chemist,32981,160,16435.91,Pacific,$5.06,$5.06,$3.42,$2.91,2.84,2.65,2.37,0.70,0.70,0.53,5/1/07,0
19,BSP Sun Preparations,2007,1,$65.00,$270.75,$318.16,139.39,5,237,11545,Chemist,32981,160,16435.91,Pacific,$4.89,$1.99,$1.34,$2.50,2.43,2.65,2.37,0.69,0.30,0.13,1/1/07,0
19,BSP Sun Preparations,2007,2,$40.00,$131.01,$153.96,45.22,5,237,11545,Chemist,32981,160,16435.91,Pacific,$3.85,$0.96,$0.65,$2.19,2.12,2.65,2.37,0.59,-0.02,-0.19,2/1/07,0
19,BSP Sun Preparations,2007,3,$40.00,$138.78,$163.10,54.46,5,237,11545,Chemist,32981,160,16435.91,Pacific,$4.08,$1.02,$0.69,$2.21,2.14,2.65,2.37,0.61,0.01,-0.16,3/1/07,0
19,BSP Sun Preparations,2007,4,$76.00,$323.35,$379.96,200.73,5,237,11545,Chemist,32981,160,16435.91,Pacific,$5.00,$2.37,$1.60,$2.58,2.51,2.65,2.37,0.70,0.38,0.20,4/1/07,0
19,BSP Sun Preparations,2007,9,$215.00,$876.59,"$1,030.02",294.54,5,237,11545,Chemist,32981,160,16435.91,Pacific,$4.79,$6.44,$4.35,$3.01,2.94,2.65,2.37,0.68,0.81,0.64,9/1/07,0
19,BSP Sun Preparations,2007,10,$460.00,"$1,792.52","$2,106.39",583.78,5,237,11545,Chemist,32981,160,16435.91,Pacific,$4.58,$13.16,$8.89,$3.32,3.25,2.65,2.37,0.66,1.12,0.95,10/1/07,0
19,BSP Sun Preparations,2007,11,$262.00,"$1,052.89","$1,237.24",348.92,5,237,11545,Chemist,32981,160,16435.91,Pacific,$4.72,$7.73,$5.22,$3.09,3.02,2.65,2.37,0.67,0.89,0.72,11/1/07,0
19,BSP Sun Preparations,2007,8,$146.00,$609.15,$715.85,226.62,5,237,11545,Chemist,32981,160,16435.91,Pacific,$4.90,$4.47,$3.02,$2.85,2.78,2.65,2.37,0.69,0.65,0.48,8/1/07,0
19,BSP Sun Preparations,2007,12,$115.00,$346.79,$407.52,101.46,5,237,11545,Chemist,32981,160,16435.91,Pacific,$3.54,$2.55,$1.72,$2.61,2.54,2.65,2.37,0.55,0.41,0.24,12/1/07,0
130,BSP Sun Preparations,2007,1,$45.00,$204.97,$240.85,98.15,4,199,13778,Chemist,28386,125,19641.48,Mid-Atlantic,$5.35,$1.93,$1.21,$2.38,2.31,2.65,2.30,0.73,0.28,0.08,1/1/07,0
130,BSP Sun Preparations,2007,2,$43.00,$172.44,$202.64,87.82,4,199,13778,Chemist,28386,125,19641.48,Mid-Atlantic,$4.71,$1.62,$1.02,$2.31,2.24,2.65,2.30,0.67,0.21,0.01,2/1/07,0
130,BSP Sun Preparations,2007,3,$39.00,$168.11,$197.55,81.46,4,199,13778,Chemist,28386,125,19641.48,Mid-Atlantic,$5.07,$1.58,$0.99,$2.30,2.23,2.65,2.30,0.70,0.20,0.00,3/1/07,0
130,BSP Sun Preparations,2007,4,$83.00,$305.90,$359.44,164.4,4,199,13778,Chemist,28386,125,19641.48,Mid-Atlantic,$4.33,$2.88,$1.81,$2.56,2.49,2.65,2.30,0.64,0.46,0.26,4/1/07,0
130,BSP Sun Preparations,2007,5,$133.00,$506.36,$594.98,286.18,4,199,13778,Chemist,28386,125,19641.48,Mid-Atlantic,$4.47,$4.76,$2.99,$2.77,2.70,2.65,2.30,0.65,0.68,0.48,5/1/07,0
130,BSP Sun Preparations,2007,6,$160.00,$667.98,$784.91,386.62,4,199,13778,Chemist,28386,125,19641.48,Mid-Atlantic,$4.91,$6.28,$3.94,$2.89,2.82,2.65,2.30,0.69,0.80,0.60,6/1/07,0
